id,message,original,genre,related,request,offer,aid_related,medical_help,medical_products,search_and_rescue,security,military,child_alone,water,food,shelter,clothing,money,missing_people,refugees,death,other_aid,infrastructure_related,transport,buildings,electricity,tools,hospitals,shops,aid_centers,other_infrastructure,weather_related,floods,storm,fire,earthquake,cold,other_weather,direct_report,target,clean_message,word_count,char_count
2,Weather update - a cold front from Cuba that could pass over Haiti,Un front froid se retrouve sur Cuba ce matin. Il pourrait traverser Haiti demain. Des averses de pluie isolee sont encore prevues sur notre region ce soi,direct,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,info,weather update cold front cuba could pas haiti,8,66
7,Is the Hurricane over or is it not over,Cyclone nan fini osinon li pa fini,direct,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,info,hurricane,1,39
8,Looking for someone but no name,"Patnm, di Maryani relem pou li banm nouvel li ak timoun yo. Mesi se john jean depi Monben kwochi.",direct,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,info,looking someone name,3,31
9,UN reports Leogane 80-90 destroyed. Only Hospital St. Croix functioning. Needs supplies desperately.,UN reports Leogane 80-90 destroyed. Only Hospital St. Croix functioning. Needs supplies desperately.,direct,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,request,un report leogane destroyed hospital st croix functioning need supply desperately,11,100
12,"says: west side of Haiti, rest of the country today and tonight",facade ouest d Haiti et le reste du pays aujourd hui et ce soir,direct,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,info,say west side haiti rest country today tonight,8,63
15,Storm at sacred heart of jesus,Cyclone Coeur sacr de jesus,direct,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,info,storm sacred heart jesus,4,30
16,"Please, we need tents and water. We are in Silo, Thank you!",Tanpri nou bezwen tant avek dlo nou zon silo mesi.,direct,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,request,please need tent water silo thank,6,59
18,I am in Croix-des-Bouquets. We have health issues. They ( workers ) are in Santo 15. ( an area in Croix-des-Bouquets ),"Nou kwadebouke, nou gen pwoblem sant m yo nan santo 15",direct,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,request,croixdesbouquets health issue worker santo area croixdesbouquets,7,118
20,"There's nothing to eat and water, we starving and thirsty.",Bon repo pa gen anyen menm grangou swaf,direct,1,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,request,there nothing eat water starving thirsty,6,58
22,"I am in Thomassin number 32, in the area named Pyron. I would like to have some water. Thank God we are fine, but we desperately need water. Thanks",Mwen thomassin 32 nan pyron mwen ta renmen jwen yon ti dlo gras a dieu bo lakay mwen anfom se sel dlo nou bezwen,direct,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,request,thomassin number area named pyron would like water thank god fine desperately need water thanks,15,147
24,"Let's do it together, need food in Delma 75, in didine area",Ann fel ansanm bezwen manje nan delma 75 nan riyel didine,direct,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,request,let together need food delma didine area,7,59
25,More information on the 4636 number in order for me to participate. ( To see if I can use it ),gen plis enfomasyon sou 4636 la pom w sim ap ka patisipe.,direct,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,info,information number order participate see use,6,94
26,"A Comitee in Delmas 19, Rue ( street ) Janvier, Impasse Charite #2. We have about 500 people in a temporary shelter and we are in dire need of Water, Food, Medications, Tents and Clothes. Please stop by and see us.","Komite katye delma 19 rue janvier imp charite no 2. Nou genyen 500 moun ki nan abri pwovizwa. Nou bezwen dlo, manje, medikaman, tant, vtman. Tanpri vizite n.",direct,1,1,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,request,comitee delmas rue street janvier impasse charite people temporary shelter dire need water food medication tent clothes please stop see u,21,214
27,We need food and water in Klecin 12. We are dying of hunger. Impasse Chretien Klecin 12 extended ( extension ) We are hungry and sick.,Nou bezwen mange avek dlo nan klcin 12 LA LAFIN AP TU NOU IMPASSE chrtien klcin 12 pwolonge nou gwangou nou malad,direct,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,request,need food water klecin dying hunger impasse chretien klecin extended extension hungry sick,13,134
31,I would like to know if the earthquake is over. Thanks,Mwen ta remen connin si trenblem de terre afini oke,direct,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,info,would like know earthquake thanks,5,54
32,I would like to know if one of the radio ginen Journalist died?,Mwen ta renmen konnen eske ge jounalis radyo ginen ki mouri.,direct,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,info,would like know one radio ginen journalist died,8,63
33,"I'm in Laplaine, I am a victim",Mwen laplan mwen viktim kot yap bay d pou latranbl,direct,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,request,im laplaine victim,3,30
34,"There's a lack of water in Moleya, please informed them for me.",Nan moleya pa gen dlo svp f konnen sa pou mwen.,direct,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,request,there lack water moleya please informed,6,63
35,Those people who live at Sibert need food they are hungry.,nou menm nan sibert nou grangou nou bezwen mange,direct,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,request,people live sibert need food hungry,6,58
36,"I want to say hello, my message is to let you know that there's an area in faustin Anhy street that has nothing neither food, water and medicine,",Mwen salye nou dab mesaj mwen an se jis nou gen yen faustin 1re rue anhy 1re kipa jwenn an yen ni vizit ni dlo e moun yo dan le bezyon yap achte ti sa,direct,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,info,want say hello message let know there area faustin anhy street nothing neither food water medicine,16,145
38,"People I'm at Delma 2, we don't anything what so ever, please provide us with some food, water, and medicine",MEZANMI MWEN MWEN NAN DELMA 2 NOU TR MAN MAL NOU PA JAN M JWEN ANY,direct,1,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,request,people im delma dont anything ever please provide u food water medicine,12,108
39,"We are at Gressier we needs assistance right away. ASAP, Come help us.",Se gressier nou an difikilte tanpri vin ede nou,direct,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,request,gressier need assistance right away asap come help u,9,70
41,How can we get water and food in Fontamara 43 cite Tinante?,Comment nou ka jwen dlo ak manje nan font 43 cite tinante,direct,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,request,get water food fontamara cite tinante,6,59
42,We need help. Carrefour has been forgotten completely. The foul odor is killing us. Just letting you know. Thanks!!,Nap di secours yo bliye kafou net sant m ap touye moun fe mesage la pase ok mersi.,direct,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,request,need help carrefour forgotten completely foul odor killing u letting know thanks,12,115
44,"We have a lot of problem at Delma 75 Avenue Albert Jode, those people need water and food.",We have a many probleme a baout delmas 75 aveny albert jode the pepole need some weater some food and medcin Iwat my name rejinald,direct,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,request,lot problem delma avenue albert jode people need water food,10,90
46,People have been sleeping outdoors in a field near Lilavois since 12 Jan. No coords on Lilavois but apparently it is near PaP,ofit des habitants qui dorment a la belle etoile sur le terrain de Lilavois depuis le 12 janvier.,direct,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,info,people sleeping outdoors field near lilavois since jan coords lilavois apparently near pap,13,125
47,"We want you to know that Carrefour need help, we starving to death.",koufou poko jwenn ankenn ed nap mouri grangou men nou gen dlo ok.,direct,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,request,want know carrefour need help starving death,7,67
48,"How we can find food and water? we have people in many differents needs, and also for medicine at Fontamara 43 cite Tinante.",Comment nou ka jwen dlo ak manje nou gen moun ki gen tout kalte pwoblem nan fontamara 43 cite tinante,direct,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,info,find food water people many differents need also medicine fontamara cite tinante,12,124
49,"Delmas 33 in Silo, need water.",Delma 33 silo gen problem dlo,direct,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,request,delmas silo need water,4,30
50,I would like to get help at Cote Plage in Carrefour,Mwen ta renmen yo vizite cote plage carrefour,direct,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,request,would like get help cote plage carrefour,7,51
51,"I am in Leoganes, where can I get food? Please",mwen leyogan ki kote ki gen manje tanpri,direct,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,request,leoganes get food please,4,46
52,"The Comite Miracle in the area of Alerte Rue Monseigneur Guilloux, ( Streets, Alerte and the cross street is Mgr Guilloux ) would like to urgently receive food, water and tents for the people in that area. Thanks",komite mirak ki tabli nan zone alerte mgr guilloux ta renmen resevwa prese prese dlo manje ak tant pou moun nan zone nan,direct,1,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,request,comite miracle area alerte rue monseigneur guilloux street alerte cross street mgr guilloux would like urgently receive food water tent people area thanks,23,212
53,"People from Dal blocked since Wednesday in Carrefour, we having water shortage, food and medical assistance.",moun sou dal blok fo mekredi nan kfou fy gen pwoblem dlo manje remed,direct,1,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,info,people dal blocked since wednesday carrefour water shortage food medical assistance,11,108
54,"In Jacmel it's not working at all, because people are dying of hunger.",n jakmel sa pa mache ditou paske moun yo ap mouri grangou,direct,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,info,jacmel working people dying hunger,5,70
56,We have no one everybody is dead.,nou a gen peson tout moun mouri,direct,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,info,one everybody dead,3,33
